Section,Multiselect,Category,Label,Tag
Attire and body accessories: Attire,TRUE,Headwear and Headgear,balaclava,balaclava
Attire and body accessories: Attire,TRUE,Headwear and Headgear,crown,crown
Attire and body accessories: Attire,TRUE,Headwear and Headgear,hair bow,hair bow
Attire and body accessories: Attire,TRUE,Headwear and Headgear,hair ribbon,hair ribbon
Attire and body accessories: Attire,TRUE,Headwear and Headgear,hairband,hairband
Attire and body accessories: Attire,TRUE,Headwear and Headgear,headband,headband
Attire and body accessories: Attire,TRUE,Headwear and Headgear,forehead protector,forehead protector
Attire and body accessories: Attire,TRUE,Headwear and Headgear,sweatband,sweatband
Attire and body accessories: Attire,TRUE,Headwear and Headgear,hachimaki,hachimaki
Attire and body accessories: Attire,TRUE,Headwear and Headgear,mongkhon,mongkhon
Attire and body accessories: Attire,TRUE,Headwear and Headgear,headdress,headdress
Attire and body accessories: Attire,TRUE,Headwear and Headgear,maid headdress,maid headdress
Attire and body accessories: Attire,TRUE,Headwear and Headgear,tiara,tiara
Attire and body accessories: Attire,TRUE,Headwear and Headgear,veil,veil
Attire and body accessories: Attire,TRUE,Headwear and Headgear,honggaitou,honggaitou
Attire and body accessories: Attire,TRUE,Shirts and Topwear,blouse,blouse
Attire and body accessories: Attire,TRUE,Shirts and Topwear,frilled shirt,frilled shirt
Attire and body accessories: Attire,TRUE,Shirts and Topwear,sleeveless shirt,sleeveless shirt
Attire and body accessories: Attire,TRUE,Shirts and Topwear,bustier,bustier
Attire and body accessories: Attire,TRUE,Shirts and Topwear,crop top,crop top
Attire and body accessories: Attire,TRUE,Shirts and Topwear,camisole,camisole
Attire and body accessories: Attire,TRUE,Shirts and Topwear,cardigan,cardigan
Attire and body accessories: Attire,TRUE,Shirts and Topwear,cardigan vest,cardigan vest
Attire and body accessories: Attire,TRUE,Shirts and Topwear,coat,coat
Attire and body accessories: Attire,TRUE,Shirts and Topwear,duffel coat,duffel coat
Attire and body accessories: Attire,TRUE,Shirts and Topwear,fur coat,fur coat
Attire and body accessories: Attire,TRUE,Shirts and Topwear,fur-trimmed coat,fur-trimmed coat
Attire and body accessories: Attire,TRUE,Shirts and Topwear,long coat,long coat
Attire and body accessories: Attire,TRUE,Shirts and Topwear,overcoat,overcoat
Attire and body accessories: Attire,TRUE,Shirts and Topwear,peacoat,peacoat
Attire and body accessories: Attire,TRUE,Shirts and Topwear,raincoat,raincoat
Attire and body accessories: Attire,TRUE,Shirts and Topwear,yellow raincoat,yellow raincoat
