Section,Multiselect,Category,Label,Tag
More Visual characteristics: Food tags,TRUE,Fruit,akebia fruit,akebia fruit
More Visual characteristics: Food tags,TRUE,Fruit,apple,apple
More Visual characteristics: Food tags,TRUE,Fruit,apple rabbit,apple rabbit
More Visual characteristics: Food tags,TRUE,Fruit,apple core,apple core
More Visual characteristics: Food tags,TRUE,Fruit,apple peel,apple peel
More Visual characteristics: Food tags,TRUE,Fruit,bitten apple,bitten apple
More Visual characteristics: Food tags,TRUE,Fruit,candy apple,candy apple
More Visual characteristics: Food tags,TRUE,Fruit,golden apple,golden apple
More Visual characteristics: Food tags,TRUE,Fruit,green apple,green apple
More Visual characteristics: Food tags,TRUE,Fruit,red apple,red apple
More Visual characteristics: Food tags,TRUE,Fruit,apricot,apricot
More Visual characteristics: Food tags,TRUE,Fruit,avocado,avocado
More Visual characteristics: Food tags,TRUE,Fruit,banana,banana
More Visual characteristics: Food tags,TRUE,Fruit,banana boat,banana boat
More Visual characteristics: Food tags,TRUE,Fruit,banana peel,banana peel
More Visual characteristics: Food tags,TRUE,Fruit,banana popsicle,banana popsicle
More Visual characteristics: Food tags,TRUE,Fruit,banana slice,banana slice
More Visual characteristics: Food tags,TRUE,Fruit,chocolate banana,chocolate banana
More Visual characteristics: Food tags,TRUE,Fruit,gel banana,gel banana
More Visual characteristics: Food tags,TRUE,Fruit,on banana,on banana
More Visual characteristics: Food tags,TRUE,Fruit,berry,berry
More Visual characteristics: Food tags,TRUE,Fruit,blackberry,blackberry
More Visual characteristics: Food tags,TRUE,Fruit,blueberry,blueberry
More Visual characteristics: Food tags,TRUE,Fruit,raspberry,raspberry
More Visual characteristics: Food tags,TRUE,Fruit,strawberry,strawberry
More Visual characteristics: Food tags,TRUE,Fruit,cacao fruit,cacao fruit
More Visual characteristics: Food tags,TRUE,Fruit,cherry,cherry
More Visual characteristics: Food tags,TRUE,Fruit,chinese lantern,chinese lantern
More Visual characteristics: Food tags,TRUE,Fruit,custard apple,custard apple
More Visual characteristics: Food tags,TRUE,Fruit,dragon fruit,dragon fruit
More Visual characteristics: Food tags,TRUE,Fruit,fig,fig
More Visual characteristics: Food tags,TRUE,Fruit,fruit bowl,fruit bowl
More Visual characteristics: Food tags,TRUE,Fruit,fruit cup,fruit cup
More Visual characteristics: Food tags,TRUE,Fruit,gooseberry,gooseberry
More Visual characteristics: Food tags,TRUE,Fruit,grapefruit,grapefruit
More Visual characteristics: Food tags,TRUE,Fruit,grapes,grapes
More Visual characteristics: Food tags,TRUE,Fruit,currant,currant
More Visual characteristics: Food tags,TRUE,Fruit,grape stomping,grape stomping
More Visual characteristics: Food tags,TRUE,Fruit,kiwi,kiwi
More Visual characteristics: Food tags,TRUE,Fruit,kiwi slice,kiwi slice
More Visual characteristics: Food tags,TRUE,Fruit,lemon,lemon
More Visual characteristics: Food tags,TRUE,Fruit,lemon slice,lemon slice
More Visual characteristics: Food tags,TRUE,Fruit,lemonade,lemonade
More Visual characteristics: Food tags,TRUE,Fruit,lime,lime
More Visual characteristics: Food tags,TRUE,Fruit,lime slice,lime slice
More Visual characteristics: Food tags,TRUE,Fruit,loquat,loquat
More Visual characteristics: Food tags,TRUE,Fruit,lychee,lychee
More Visual characteristics: Food tags,TRUE,Fruit,mango,mango
More Visual characteristics: Food tags,TRUE,Fruit,mangosteen,mangosteen
More Visual characteristics: Food tags,TRUE,Fruit,melon,melon
More Visual characteristics: Food tags,TRUE,Fruit,cantaloupe,cantaloupe
More Visual characteristics: Food tags,TRUE,Fruit,honeydew,honeydew
More Visual characteristics: Food tags,TRUE,Fruit,watermelon,watermelon
More Visual characteristics: Food tags,TRUE,Fruit,olive,olive
More Visual characteristics: Food tags,TRUE,Fruit,orange,orange
More Visual characteristics: Food tags,TRUE,Fruit,mandarin orange,mandarin orange
More Visual characteristics: Food tags,TRUE,Fruit,orangette,orangette
More Visual characteristics: Food tags,TRUE,Fruit,orange juice,orange juice
More Visual characteristics: Food tags,TRUE,Fruit,orange slice,orange slice
More Visual characteristics: Food tags,TRUE,Fruit,papaya,papaya
More Visual characteristics: Food tags,TRUE,Fruit,peach,peach
More Visual characteristics: Food tags,TRUE,Fruit,pear,pear
More Visual characteristics: Food tags,TRUE,Fruit,nashi pear,nashi pear
More Visual characteristics: Food tags,TRUE,Fruit,persimmon,persimmon
More Visual characteristics: Food tags,TRUE,Fruit,pineapple,pineapple
More Visual characteristics: Food tags,TRUE,Fruit,plum,plum
More Visual characteristics: Food tags,TRUE,Fruit,pomegranate,pomegranate
More Visual characteristics: Food tags,TRUE,Fruit,rambutan,rambutan
More Visual characteristics: Food tags,TRUE,Fruit,starfruit,starfruit
More Visual characteristics: Food tags,TRUE,Fruit,umeboshi,umeboshi
More Visual characteristics: Food tags,TRUE,Fruit,yuzu (fruit),yuzu (fruit)
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,asparagus,asparagus
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,beans,beans
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,green bean,green bean
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,red bean paste,red bean paste
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,nattou,nattou
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,bitter melon,bitter melon
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,broccoli,broccoli
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,cabbage,cabbage
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,bok choy,bok choy
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,carrot,carrot
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,carrot slice,carrot slice
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,carrot sticks,carrot sticks
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,cauliflower,cauliflower
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,coconut,coconut
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,corn,corn
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,cucumber,cucumber
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,pickle,pickle
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,eggplant,eggplant
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,garlic,garlic
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,kimchi,kimchi
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,lettuce,lettuce
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,lotus root,lotus root
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,mint,mint
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,mushroom,mushroom
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,shiitake,shiitake
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,okra,okra
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,onion,onion
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,onion rings,onion rings
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,spring onion,spring onion
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,parsley,parsley
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,peas,peas
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,pea pod,pea pod
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,plant,plant
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,almond,almond
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,chestnut,chestnut
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,peanut,peanut
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,bell pepper,bell pepper
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,bell pepper plant,bell pepper plant
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,bell pepper slice,bell pepper slice
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,green pepper,green pepper
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,orange pepper,orange pepper
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,red pepper,red pepper
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,yellow pepper,yellow pepper
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,chili pepper,chili pepper
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,habanero pepper,habanero pepper
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,jalapeno pepper,jalapeno pepper
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,potato,potato
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,mashed potato,mashed potato
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,radish,radish
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,daikon,daikon
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,seaweed,seaweed
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,hijiki,hijiki
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,nori,nori
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,squash,squash
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,pumpkin,pumpkin
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,jack-o'-lantern,jack-o'-lantern
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,sweet potato,sweet potato
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,roasted sweet potato,roasted sweet potato
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,tomato,tomato
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,cherry tomato,cherry tomato
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,tomato plant,tomato plant
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,turnip,turnip
More Visual characteristics: Food tags,TRUE,Vegetable / Herbs,warabi,warabi
More Visual characteristics: Food tags,TRUE,Meat and Seafood,bacon,bacon
More Visual characteristics: Food tags,TRUE,Meat and Seafood,boned meat,boned meat
More Visual characteristics: Food tags,TRUE,Meat and Seafood,chicken,chicken
More Visual characteristics: Food tags,TRUE,Meat and Seafood,chicken leg,chicken leg
More Visual characteristics: Food tags,TRUE,Meat and Seafood,chicken nuggets,chicken nuggets
More Visual characteristics: Food tags,TRUE,Meat and Seafood,fried chicken,fried chicken
More Visual characteristics: Food tags,TRUE,Meat and Seafood,yakitori,yakitori
More Visual characteristics: Food tags,TRUE,Meat and Seafood,crab,crab
More Visual characteristics: Food tags,TRUE,Meat and Seafood,egg,egg
More Visual characteristics: Food tags,TRUE,Meat and Seafood,broken egg,broken egg
