Section,Multiselect,Category,Label,Tag
Objects: airplanes,TRUE,Military,J-7,J-7
Objects: airplanes,TRUE,Military,J-10,J-10
Objects: airplanes,TRUE,Military,J-10B,J-10B
Objects: airplanes,TRUE,Military,J-20,J-20
Objects: airplanes,TRUE,Military,J-31,J-31
Objects: airplanes,TRUE,Military,Kj-200,Kj-200
Objects: airplanes,TRUE,Civilian,Airbus A320,Airbus A320
Objects: airplanes,TRUE,Civilian,Airbus A330,Airbus A330
Objects: airplanes,TRUE,Civilian,Airbus A340,Airbus A340
Objects: airplanes,TRUE,Civilian,Airbus A350,Airbus A350
Objects: airplanes,TRUE,Civilian,Airbus A380,Airbus A380
Objects: airplanes,TRUE,Civilian,Antonov An-148,Antonov An-148
Objects: airplanes,TRUE,Civilian,Antonov An-225,Antonov An-225
Objects: airplanes,TRUE,Civilian,Boeing 727,Boeing 727
Objects: airplanes,TRUE,Civilian,Boeing 747,Boeing 747
Objects: airplanes,TRUE,Civilian,Boeing 767,Boeing 767
Objects: airplanes,TRUE,Civilian,Boeing 787,Boeing 787
Objects: airplanes,TRUE,Civilian,McDonnell Douglas DC-10,McDonnell Douglas DC-10
Objects: airplanes,TRUE,Civilian,McDonnell Douglas MD-11,McDonnell Douglas MD-11
Objects: airplanes,TRUE,Fictional,ADF-01 falken,ADF-01 falken
Objects: airplanes,TRUE,Fictional,ADFX-02 morgan,ADFX-02 morgan
Objects: airplanes,TRUE,Fictional,Arsenal Bird,Arsenal Bird
Objects: airplanes,TRUE,Fictional,Curtiss R3C-0,Curtiss R3C-0
Objects: airplanes,TRUE,Fictional,GAF-1,GAF-1
Objects: airplanes,TRUE,Fictional,R-101 Delphinus I,R-101 Delphinus I
Objects: airplanes,TRUE,Fictional,R-102 Delphinus II,R-102 Delphinus II
Objects: airplanes,TRUE,Fictional,R-103 Delphinus III,R-103 Delphinus III
Objects: airplanes,TRUE,Fictional,Savoia S.21,Savoia S.21
Objects: airplanes,TRUE,Fictional,T-65 X-wing,T-65 X-wing
Objects: airplanes,TRUE,Fictional,X-02 Wyvern,X-02 Wyvern
Objects: airplanes,TRUE,Miscellaneous,Alitalia,Alitalia
Objects: airplanes,TRUE,Miscellaneous,All nippon airways,All nippon airways
Objects: airplanes,TRUE,Miscellaneous,Blue angels,Blue angels
Objects: airplanes,TRUE,Miscellaneous,Blue Impulse,Blue Impulse
Objects: airplanes,TRUE,Miscellaneous,Cathay Pacific,Cathay Pacific
Objects: airplanes,TRUE,Miscellaneous,Imperial German Flying Corps,Imperial German Flying Corps
Objects: airplanes,TRUE,Miscellaneous,Japan Airlines,Japan Airlines
Objects: airplanes,TRUE,Miscellaneous,Japan Air Self-Defense Force,Japan Air Self-Defense Force
Objects: airplanes,TRUE,Miscellaneous,Luftwaffe,Luftwaffe
Objects: airplanes,TRUE,Miscellaneous,Patrouille Suisse,Patrouille Suisse
Objects: airplanes,TRUE,Miscellaneous,Qantas,Qantas
Objects: airplanes,TRUE,Miscellaneous,Royal Air Force,Royal Air Force
Objects: airplanes,TRUE,Miscellaneous,Singapore Airlines,Singapore Airlines
Objects: airplanes,TRUE,Miscellaneous,Thunderbirds,Thunderbirds
Objects: airplanes,TRUE,See also,aircraft,aircraft
Objects: airplanes,TRUE,See also,airship,airship
Objects: airplanes,TRUE,See also,glider,glider
Objects: airplanes,TRUE,See also,gunship,gunship
Objects: airplanes,TRUE,See also,gyrocopter,gyrocopter
Objects: airplanes,TRUE,See also,helicopter,helicopter
Objects: airplanes,TRUE,See also,Hirschgeweih antennas,Hirschgeweih antennas
Objects: airplanes,TRUE,See also,mecha musume,mecha musume
Objects: airplanes,TRUE,See also,military,military
Objects: airplanes,TRUE,See also,Striker Unit,Striker Unit
Objects: airplanes,TRUE,See also,UAV,UAV
Objects: airplanes,TRUE,See also,Technology,Technology
Objects: airplanes,TRUE,See also,Helicopters,Helicopters
Objects: airplanes,TRUE,See also,Meta-Wikis,Meta-Wikis
Objects: ground vehicles,TRUE,Military,Type 59,Type 59
Objects: ground vehicles,TRUE,Military,Type 96,Type 96
Objects: ground vehicles,TRUE,Military,Type 99,Type 99
Objects: ground vehicles,TRUE,Military,Type 62,Type 62
Objects: ground vehicles,TRUE,Military,VN-17 IFV,VN-17 IFV
Objects: ground vehicles,TRUE,Civilian,Bugatti Chiron,Bugatti Chiron
Objects: ground vehicles,TRUE,Civilian,Bugatti Veyron,Bugatti Veyron
Objects: ground vehicles,TRUE,Civilian,Peugeot 103,Peugeot 103
Objects: ground vehicles,TRUE,Civilian,Renault Alpine A310,Renault Alpine A310
Objects: ground vehicles,TRUE,Fictional,Baneblade,Baneblade
Objects: ground vehicles,TRUE,Fictional,Edelweiss,Edelweiss
Objects: ground vehicles,TRUE,Fictional,Kaneda Shoutarou's Bike,Kaneda Shoutarou's Bike
Objects: ground vehicles,TRUE,Fictional,Landmaster,Landmaster
Objects: ground vehicles,TRUE,Fictional,Lightcycle,Lightcycle
Objects: ground vehicles,TRUE,Fictional,Maser tank,Maser tank
Objects: ground vehicles,TRUE,Fictional,Leman Russ,Leman Russ
Objects: ground vehicles,TRUE,Fictional,Scorpion,Scorpion
Objects: ground vehicles,TRUE,Fictional,Shamrock,Shamrock
Objects: ground vehicles,TRUE,Fictional,"SV-001 ""Metal Slug""","SV-001 ""Metal Slug"""
Objects: ground vehicles,TRUE,Fictional,T-100 Varsuk,T-100 Varsuk
Objects: ground vehicles,TRUE,Fictional,Warthog,Warthog
Objects: ground vehicles,TRUE,Fictional,Wraith,Wraith
Objects: ground vehicles,TRUE,Types,All-terrain vehicle,All-terrain vehicle
