Section,Multiselect,Category,Label,Tag
Real world: Companies and brand names,TRUE,Clothing and Accessories,Adidas,Adidas
Real world: Companies and brand names,TRUE,Clothing and Accessories,ASICS,ASICS
Real world: Companies and brand names,TRUE,Clothing and Accessories,chanel,chanel
Real world: Companies and brand names,TRUE,Clothing and Accessories,Citizen,Citizen
Real world: Companies and brand names,TRUE,Clothing and Accessories,Converse,Converse
Real world: Companies and brand names,TRUE,Clothing and Accessories,Dior,Dior
Real world: Companies and brand names,TRUE,Clothing and Accessories,Doc Martens,Doc Martens
Real world: Companies and brand names,TRUE,Clothing and Accessories,Gucci,Gucci
Real world: Companies and brand names,TRUE,Clothing and Accessories,Levi's,Levi's
Real world: Companies and brand names,TRUE,Clothing and Accessories,New Balance,New Balance
Real world: Companies and brand names,TRUE,Clothing and Accessories,Nike,Nike
Real world: Companies and brand names,TRUE,Clothing and Accessories,Air Jordan,Air Jordan
Real world: Companies and brand names,TRUE,Clothing and Accessories,Puma,Puma
Real world: Companies and brand names,TRUE,Clothing and Accessories,Ray-ban,Ray-ban
Real world: Companies and brand names,TRUE,Clothing and Accessories,Reebok,Reebok
Real world: Companies and brand names,TRUE,Clothing and Accessories,Speedo,Speedo
Real world: Companies and brand names,TRUE,Clothing and Accessories,The north face,The north face
Real world: Companies and brand names,TRUE,Clothing and Accessories,Tommy Hilfiger,Tommy Hilfiger
Real world: Companies and brand names,TRUE,Clothing and Accessories,Uniqlo,Uniqlo
Real world: Companies and brand names,TRUE,Clothing and Accessories,Vans,Vans
Real world: Companies and brand names,TRUE,Clothing and Accessories,Victoria's secret,Victoria's secret
Real world: Companies and brand names,TRUE,Automotive,Alfa Romeo,Alfa Romeo
Real world: Companies and brand names,TRUE,Automotive,Aston Martin,Aston Martin
Real world: Companies and brand names,TRUE,Automotive,Audi,Audi
Real world: Companies and brand names,TRUE,Automotive,Bentley,Bentley
Real world: Companies and brand names,TRUE,Automotive,BMW,BMW
Real world: Companies and brand names,TRUE,Automotive,Bugatti,Bugatti
Real world: Companies and brand names,TRUE,Automotive,Buick,Buick
Real world: Companies and brand names,TRUE,Automotive,Cadillac,Cadillac
Real world: Companies and brand names,TRUE,Automotive,Chevrolet,Chevrolet
Real world: Companies and brand names,TRUE,Automotive,Chrysler,Chrysler
Real world: Companies and brand names,TRUE,Automotive,Citroen,Citroen
Real world: Companies and brand names,TRUE,Automotive,Daihatsu,Daihatsu
Real world: Companies and brand names,TRUE,Automotive,Delorean,Delorean
Real world: Companies and brand names,TRUE,Automotive,Dodge,Dodge
Real world: Companies and brand names,TRUE,Automotive,Ducati,Ducati
Real world: Companies and brand names,TRUE,Automotive,Ferrari,Ferrari
Real world: Companies and brand names,TRUE,Automotive,Fiat,Fiat
Real world: Companies and brand names,TRUE,Automotive,Ford,Ford
Real world: Companies and brand names,TRUE,Automotive,Holden,Holden
Real world: Companies and brand names,TRUE,Automotive,Honda,Honda
Real world: Companies and brand names,TRUE,Automotive,Hummer,Hummer
Real world: Companies and brand names,TRUE,Automotive,Indian,Indian
Real world: Companies and brand names,TRUE,Automotive,Isuzu motors,Isuzu motors
Real world: Companies and brand names,TRUE,Automotive,Jaguar,Jaguar
Real world: Companies and brand names,TRUE,Automotive,Jeep,Jeep
Real world: Companies and brand names,TRUE,Automotive,Kawasaki,Kawasaki
Real world: Companies and brand names,TRUE,Automotive,Lamborghini,Lamborghini
Real world: Companies and brand names,TRUE,Automotive,Lada (car),Lada (car)
Real world: Companies and brand names,TRUE,Automotive,Lancia (brand),Lancia (brand)
Real world: Companies and brand names,TRUE,Automotive,Land rover,Land rover
Real world: Companies and brand names,TRUE,Automotive,Lotus,Lotus
Real world: Companies and brand names,TRUE,Automotive,Maserati,Maserati
Real world: Companies and brand names,TRUE,Automotive,Mazda,Mazda
Real world: Companies and brand names,TRUE,Automotive,Mclaren,Mclaren
Real world: Companies and brand names,TRUE,Automotive,Mercedes-Benz,Mercedes-Benz
Real world: Companies and brand names,TRUE,Automotive,Michelin,Michelin
Real world: Companies and brand names,TRUE,Automotive,Mini Cooper,Mini Cooper
Real world: Companies and brand names,TRUE,Automotive,Mitsubishi,Mitsubishi
Real world: Companies and brand names,TRUE,Automotive,Nissan,Nissan
Real world: Companies and brand names,TRUE,Automotive,Pagani,Pagani
Real world: Companies and brand names,TRUE,Automotive,Peugeot,Peugeot
Real world: Companies and brand names,TRUE,Automotive,Plymouth,Plymouth
Real world: Companies and brand names,TRUE,Automotive,Pontiac,Pontiac
Real world: Companies and brand names,TRUE,Automotive,Porsche,Porsche
Real world: Companies and brand names,TRUE,Automotive,Renault,Renault
Real world: Companies and brand names,TRUE,Automotive,Rolls-Royce,Rolls-Royce
Real world: Companies and brand names,TRUE,Automotive,Subaru,Subaru
